county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,total_snap_payments,avg_snap_payment,month,year,payment_inflation_adjusted
Gillespie,572,1437,227,555,499,41,115,"$138,213",$241.63,August,2018,$310.46
Hays,6020,14911,2502,5658,5663,350,738,"$1,639,093",$272.27,August,2018,$349.83
Lampasas,1061,2411,333,779,1069,85,145,"$255,497",$240.81,August,2018,$309.41
Lee,836,2011,345,739,772,53,102,"$209,103",$250.12,August,2018,$321.37
Limestone,1671,3747,535,1339,1501,116,256,"$398,227",$238.32,August,2018,$306.21
Llano,904,1980,322,578,794,104,182,"$204,105",$225.78,August,2018,$290.10
McLennan,16175,36963,6296,12817,14806,1227,1817,"$4,042,120",$249.90,August,2018,$321.09
Milam,1877,4273,625,1453,1688,186,321,"$462,419",$246.36,August,2018,$316.54
Mills,181,395,56,119,167,23,30,"$37,915",$209.48,August,2018,$269.16
San Saba,348,775,103,247,326,34,65,"$81,641",$234.60,August,2018,$301.43
Travis,44971,98674,17107,38040,34809,2961,5757,"$11,592,650",$257.78,August,2018,$331.21
Williamson,11549,28248,4635,10674,10486,683,1770,"$3,091,827",$267.71,August,2018,$343.97
Bastrop,4596,10942,1858,4329,3856,338,561,"$1,240,997",$270.02,September,2018,$346.54
Bell,22915,55912,9204,19949,23139,1467,2153,"$6,249,672",$272.73,September,2018,$350.02
Blanco,241,520,85,171,197,19,48,"$54,715",$227.03,September,2018,$291.37
Burnet,1763,4067,645,1398,1560,144,320,"$421,318",$238.98,September,2018,$306.70
Caldwell,2523,6274,1081,2420,2228,181,364,"$692,781",$274.59,September,2018,$352.40
Coryell,3541,8537,1381,2876,3686,226,368,"$924,871",$261.19,September,2018,$335.21
Falls,1366,2837,434,867,1159,141,236,"$292,682",$214.26,September,2018,$274.98
Fayette,845,1909,307,673,702,68,159,"$204,321",$241.80,September,2018,$310.32
Freestone,1114,2441,360,815,980,98,188,"$266,806",$239.50,September,2018,$307.37
Gillespie,579,1454,224,563,515,40,112,"$142,436",$246.00,September,2018,$315.71
Hays,6064,14913,2484,5634,5688,356,751,"$1,639,603",$270.38,September,2018,$347.00
Lampasas,1091,2500,342,821,1095,91,151,"$266,436",$244.21,September,2018,$313.42
Lee,835,2001,357,731,757,53,103,"$209,617",$251.04,September,2018,$322.18
Limestone,1678,3761,531,1355,1492,121,262,"$399,791",$238.25,September,2018,$305.77
Llano,905,1984,328,573,802,100,181,"$204,459",$225.92,September,2018,$289.94
McLennan,16157,36906,6237,12832,14793,1210,1834,"$4,026,311",$249.20,September,2018,$319.82
Milam,1859,4237,631,1425,1665,190,326,"$458,585",$246.68,September,2018,$316.58
Mills,178,403,55,126,172,19,31,"$38,871",$218.38,September,2018,$280.27
San Saba,351,768,95,251,322,36,64,"$83,179",$236.98,September,2018,$304.14
Travis,45018,98532,17080,37854,34897,2953,5748,"$11,627,065",$258.28,September,2018,$331.47
Williamson,11539,28212,4610,10636,10493,678,1795,"$3,097,948",$268.48,September,2018,$344.56
Bastrop,4574,10958,1858,4366,3830,340,564,"$1,249,700",$273.22,October,2018,$350.03
