county,census_tract,population_size,food_insecure_population_percent,food_insecure_population
McLennan,3,4112,0.1653145742,679.7735291104
McLennan,4.01,1794,0.2637521887,473.1714265278
McLennan,4.02,4354,0.2524196633,1099.0352140082
McLennan,5.98,5398,0.2275098749,1228.0983047102
McLennan,7,2999,0.2031390692,609.2140685308
McLennan,8,3063,0.2556817733,783.1532716179
McLennan,9,5185,0.2110049436,1094.060632566
McLennan,10,2420,0.2839459078,687.149096876
McLennan,11,5867,0.3267588714,1917.0942985038
McLennan,12,3130,0.3513123627,1099.607695251
McLennan,13,2408,0.2140433408,515.4163646464
McLennan,14.01,2375,0.3703301005,879.5339886875
McLennan,14.02,5097,0.4293166367,2188.2268972599
McLennan,15,2059,0.305459278,628.940653402
McLennan,16,6619,0.2474453405,1637.8407087695
McLennan,17,6508,0.2036641707,1325.4464229156
McLennan,18,3196,0.1918747596,613.2317316816
McLennan,19,6274,0.2954181608,1853.4535408592
McLennan,20,4423,0.1425040346,630.2953450358
McLennan,21,6345,0.2817547648,1787.733982656
McLennan,23.02,4362,0.2861422763,1248.1526092206
McLennan,24.98,5049,0.1766806677,892.0606912173
McLennan,25.01,4477,0.2076888534,929.8229966718
McLennan,25.03,5208,0.1106616602,576.3259263216
McLennan,25.04,4487,0.101247477,454.297429299
McLennan,26,6252,0.1265202781,791.0047786812
McLennan,27,3574,0.2523612127,901.9389741898
McLennan,28,4086,0.167603408,684.827525088
McLennan,29,4336,0.1019981359,442.2639172624
McLennan,30,3714,0.2123295553,788.5919683842
McLennan,32,4600,0.2338248828,1075.59446088
McLennan,33,2199,0.3111167402,684.1457116998
McLennan,34.01,1129,0.1322050455,149.2594963695
McLennan,34.02,5591,0.1490750068,833.4783630188
McLennan,35,4500,0.1546257372,695.8158174
McLennan,36.01,3164,0.2045853668,647.3081005552
McLennan,36.02,2980,0.1523062966,453.872763868
McLennan,37.01,2845,0.1471889924,418.752683378
McLennan,37.03,5961,0.1328740426,792.0621679386
McLennan,37.08,9137,0.1170347085,1069.3461315645
McLennan,37.09,7616,0.1396907995,1063.885128992
McLennan,37.1,5230,0.1007967094,527.166790162
McLennan,37.11,6799,0.1861431877,1265.5875331723
McLennan,37.12,3672,0.1014350391,372.4694635752
McLennan,38.01,6588,0.1030554763,678.9294778644
McLennan,38.02,6437,0.1812104433,1166.4516235221
McLennan,39.01,3479,0.1255713583,436.8627555257
McLennan,39.02,7586,0.1572732165,1193.074620369
McLennan,40,5584,0.0929871811,519.2404192624
McLennan,41.02,6607,0.1006878861,665.2448634627
McLennan,41.04,3938,0.1021963723,402.4493141174
McLennan,41.05,5964,0.139605034,832.604422776
McLennan,42.01,3245,0.175039913,568.004517685
McLennan,42.02,3405,0.1249957532,425.610539646
McLennan,43,7625,0.2159005587,1646.2417600875
McLennan,9800,0,0.16492,0
Milam,9501,2254,0.1844536358,415.7584950932
Milam,9503,3852,0.1361211351,524.3386124052
Milam,9504.01,3120,0.2138652051,667.259439912
Milam,9504.02,3559,0.2254466658,802.3646835822
Milam,9505,3560,0.1397906682,497.654778792
Milam,9507,5757,0.1846531552,1063.0482144864
Milam,9508,2978,0.1655127835,492.897069263
Mills,9501,1810,0.1433315716,259.430144596
Mills,9502,2691,0.1336888152,359.7566017032
San Saba,9501,2773,0.1787410822,495.6490209406
San Saba,9502,3006,0.1622747426,487.7978762556
Travis,1.01,4494,0.1022654406,459.5808900564
Travis,1.02,2155,0.0780871622,168.277834541
Travis,2.03,3020,0.1980388181,598.077230662
Travis,2.04,2593,0.1273340029,330.1770695197
Travis,2.05,4549,0.1568872975,713.6803163275
Travis,2.06,3906,0.1641197188,641.0516216328
Travis,3.02,5474,0.1931062576,1057.0636541024
Travis,3.04,3054,0.1506843257,460.1899306878
Travis,3.05,3529,0.1451555435,512.2539130115
Travis,3.07,1875,0.111508703,209.078818125
Travis,3.08,2258,0.1530383847,345.5606726526
Travis,3.09,5267,0.12123358,638.53726586
Travis,4.01,4516,0.1692113645,764.158522082
Travis,4.02,3207,0.1953188756,626.3876340492
Travis,5,3931,0.1793079235,704.8594472785
Travis,6.01,10105,0.2926386008,2957.113061084
Travis,6.05,2779,0.2517167334,699.5208021186
Travis,6.06,4553,0.2539333857,1156.1587050921
