county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,white,black,native_american,asian,pacific_islander,multi_race,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total_snap_payments,avg_snap_payment,month,year
ERATH,75560,177557,24523,63794,64155,6000,19085,105964,3931,515,563,359,358,65867,154766,11437,11354,"$19,233,191",$255,January,2018
FALLS,1461,3500,590,1265,1339,109,197,2181,92,14,10,6,13,1184,1184,1850,466,"$366,338",$251,January,2018
FANNIN,1371,2885,447,892,1165,147,234,1065,988,3,7,5,14,803,639,1796,450,"$292,946",$214,January,2018
FAYETTE,1871,4096,602,1297,1745,155,297,2747,429,43,9,4,74,790,430,3108,558,"$418,925",$224,January,2018
FISHER,918,2036,307,726,775,78,150,981,417,7,10,3,14,604,631,1077,328,"$210,500",$229,January,2018
FLOYD,188,411,70,112,178,16,35,231,65,1,0,0,1,113,159,206,46,"$47,704",$254,January,2018
FOARD,464,1286,188,495,496,31,76,630,81,1,4,1,0,569,974,195,117,"$130,390",$281,January,2018
FORT BEND,69,146,8,47,73,4,14,118,2,0,0,1,0,25,31,97,18,"$13,143",$190,January,2018
FRANKLIN,24581,58078,8893,21418,20872,1463,5432,17225,19414,203,4033,151,304,16748,20676,30909,6493,"$6,578,528",$268,January,2018
FREESTONE,563,1352,183,501,545,43,80,890,132,9,4,2,6,309,188,1013,151,"$139,046",$247,January,2018
FRIO,1117,2449,368,827,1001,83,170,1265,600,5,12,0,16,551,358,1787,304,"$262,608",$235,January,2018
GAINES,1513,3756,632,1324,1364,123,313,2048,25,4,12,43,3,1621,3101,275,380,"$407,299",$269,January,2018
GALVESTON,703,1728,256,667,589,55,161,1022,72,1,1,7,5,620,1106,478,144,"$185,010",$263,January,2018
GARZA,18324,40280,6197,14066,16235,1482,2300,18283,10963,171,455,70,239,10099,11171,24575,4534,"$4,687,520",$256,January,2018
GILLESPIE,291,710,125,251,261,22,51,371,99,1,0,3,6,230,360,280,70,"$80,788",$278,January,2018
GLASSCOCK,630,1568,236,590,584,46,112,1046,16,9,16,8,5,468,726,677,165,"$158,124",$251,January,2018
GOLIAD,17,37,4,18,12,1,2,17,0,0,0,0,0,20,27,6,4,"$3,779",$222,January,2018
GONZALES,416,1015,157,355,404,29,70,530,68,7,4,1,3,402,573,321,121,"$109,429",$263,January,2018
GRAY,1541,3718,592,1411,1351,118,246,1737,436,66,4,5,24,1446,2188,1199,331,"$392,818",$255,January,2018
GRAYSON,1349,3178,484,1079,1364,89,162,1948,181,32,7,1,19,990,1085,1732,361,"$342,957",$254,January,2018
GREGG,6881,15842,2541,5406,6471,551,873,9749,2017,149,161,6,194,3566,2617,11491,1734,"$1,672,503",$243,January,2018
GRIMES,9366,20687,3340,7223,8484,675,965,8286,7126,76,90,17,157,4935,3633,14739,2315,"$2,295,301",$245,January,2018
GUADALUPE,1769,4036,635,1446,1523,164,268,1909,952,10,7,6,19,1133,1077,2359,600,"$446,330",$252,January,2018
HALE,6076,15045,2428,5463,5800,429,925,8185,1083,42,52,39,88,5556,8155,5289,1601,"$1,640,903",$270,January,2018
HALL,2376,6105,912,2316,2326,165,386,3039,370,19,9,16,23,2629,4380,1193,532,"$633,132",$266,January,2018
HAMILTON,245,575,77,197,234,25,42,280,81,3,1,0,7,203,250,252,73,"$56,885",$232,January,2018
HANSFORD,456,989,123,312,435,46,73,770,13,5,3,2,6,190,149,712,128,"$98,465",$216,January,2018
HARDEMAN,103,305,56,142,80,6,21,158,2,0,0,0,1,144,183,89,33,"$25,887",$251,January,2018
HARDIN,241,527,71,162,231,17,46,338,47,4,0,0,1,137,138,336,53,"$55,121",$229,January,2018
HARRIS,3413,7528,1102,2286,3557,230,353,5169,997,22,13,5,51,1271,384,6377,767,"$882,720",$259,January,2018
HARRISON,307822,703242,122778,270970,245140,19535,44819,223791,217512,2311,19946,1360,2833,235489,313652,318013,71577,"$83,071,787",$270,January,2018
HARTLEY,4932,11017,1639,3863,4544,411,560,4638,3802,27,41,3,75,2431,1425,8317,1275,"$1,215,296",$246,January,2018
HASKELL,57,159,27,59,56,4,13,106,2,0,0,0,0,51,70,75,14,"$14,523",$255,January,2018
HAYS,444,951,111,280,425,35,100,564,74,0,1,4,2,306,334,511,106,"$94,705",$213,January,2018
HEMPHILL,6162,15224,2545,5790,5789,368,732,9365,965,58,82,49,149,4556,8820,4558,1846,"$1,671,369",$271,January,2018
HENDERSON,76,213,42,90,67,4,10,113,2,2,6,1,0,89,122,68,23,"$23,276",$306,January,2018
HIDALGO,5685,12451,1773,3928,5453,525,772,8473,1311,29,37,8,63,2530,1552,9387,1512,"$1,337,014",$235,January,2018
HILL,93945,240376,40498,101456,70818,5326,22278,145860,756,359,417,352,54,92578,216272,5512,18592,"$27,170,808",$289,January,2018
HOCKLEY,2265,5074,699,1767,2074,204,330,3011,700,18,18,4,41,1282,1087,3315,672,"$542,107",$239,January,2018
HOOD,1311,3289,518,1205,1310,75,181,1724,156,19,11,13,20,1346,2084,854,351,"$353,235",$269,January,2018
HOPKINS,2297,5443,860,1854,2252,195,282,4001,113,22,12,11,21,1263,934,3865,644,"$590,142",$257,January,2018
HOUSTON,2145,4887,707,1684,2006,191,299,3088,682,15,12,6,36,1048,808,3568,511,"$502,731",$234,January,2018
HOWARD,1919,3913,559,1251,1669,146,288,1451,1576,15,5,3,28,835,467,2953,493,"$438,569",$229,January,2018
HUDSPETH,1713,4236,723,1543,1663,112,195,2608,321,20,9,8,22,1248,2277,1572,387,"$466,887",$273,January,2018
HUNT,396,914,118,290,323,48,135,514,17,1,3,1,4,374,705,146,63,"$93,847",$237,January,2018
HUTCHINSON,5609,12314,1887,4019,5191,476,741,6813,2267,67,51,16,83,3017,2088,8736,1490,"$1,327,725",$237,January,2018
IRION,1110,2629,414,887,1144,92,92,1783,128,26,7,3,17,665,771,1581,277,"$305,796",$275,January,2018
JACK,29,65,10,22,22,3,8,45,1,0,0,1,0,18,23,35,7,"$5,778",$199,January,2018
JACKSON,402,950,135,341,379,23,72,701,19,2,0,0,6,222,199,642,109,"$106,553",$265,January,2018
JASPER,852,2047,311,755,791,71,119,1017,325,6,29,6,19,645,886,935,226,"$226,304",$266,January,2018
JEFF DAVIS,2882,6393,907,2138,2673,241,434,3375,1713,20,22,2,51,1210,438,5154,801,"$705,230",$245,January,2018
JEFFERSON,58,117,5,40,40,4,28,52,3,0,1,0,0,61,78,29,10,"$9,829",$169,January,2018
JIM HOGG,21218,46044,7660,15309,18762,1725,2588,11261,22420,169,832,57,157,11148,8123,32647,5274,"$5,264,969",$248,January,2018
JIM WELLS,591,1545,245,572,547,39,142,807,3,6,1,3,4,721,1356,45,144,"$161,286",$273,January,2018
JOHNSON,4437,10700,1691,3628,4283,302,796,5534,101,18,17,11,7,5012,8744,1007,949,"$1,179,662",$266,January,2018
JONES,7644,18555,2900,6718,7454,571,912,12464,900,99,105,102,176,4709,4582,12034,1939,"$2,058,448",$269,January,2018
KARNES,900,2130,285,736,881,80,148,1281,161,9,9,3,9,658,774,1143,213,"$210,225",$234,January,2018
KAUFMAN,1118,2785,470,983,1056,92,184,1464,104,7,5,6,8,1191,1976,524,285,"$305,455",$273,January,2018
KENDALL,5465,13368,2143,5025,5103,408,689,7245,2897,53,72,4,62,3035,2944,9006,1418,"$1,461,391",$267,January,2018
KENEDY,763,1793,309,616,689,57,122,1122,32,14,8,4,4,609,818,751,224,"$197,844",$259,January,2018
KENT,23,55,7,21,17,4,6,24,0,0,0,1,0,30,48,3,4,"$4,987",$217,January,2018
KERR,20,48,6,16,20,1,5,36,0,0,0,0,1,11,12,30,6,"$3,939",$197,January,2018
KIMBLE,2541,5594,909,1765,2331,213,376,3575,179,30,35,4,39,1732,2151,2830,613,"$593,675",$234,January,2018
KING,185,433,64,146,168,12,43,358,1,1,1,0,0,72,173,220,40,"$40,845",$221,January,2018
KINNEY,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,$313,$313,January,2018
KLEBERG,214,462,63,128,187,12,72,237,12,1,0,0,1,211,313,99,50,"$45,864",$214,January,2018
