county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,white,black,native_american,asian,pacific_islander,multi_race,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total_snap_payments,avg_snap_payment,month,year
WEBB,24701,64113,9675,26314,21107,1344,5673,37757,151,69,90,82,27,25937,56692,1170,6251,"$8,748,866",$354,June,2021
WHARTON,2523,5947,923,2152,2272,209,391,2481,1258,16,8,6,38,2140,3017,2154,776,"$774,308",$307,June,2021
WHEELER,183,450,60,162,179,21,28,266,34,1,3,0,4,142,149,230,71,"$53,567",$293,June,2021
WICHITA,7722,16022,2101,5100,6970,786,1065,8218,2785,116,82,24,312,4485,3912,10144,1966,"$1,982,114",$257,June,2021
WILBARGER,879,1845,208,585,810,83,159,929,260,12,96,3,19,526,563,1062,220,"$217,099",$247,June,2021
WILLACY,2126,4696,582,1596,1710,160,648,2845,27,2,7,9,8,1798,4132,170,394,"$581,912",$274,June,2021
WILLIAMSON,10470,24581,3591,9023,9317,672,1978,12681,4225,127,618,66,434,6430,9365,12059,3157,"$3,158,565",$302,June,2021
WILSON,1651,3739,475,1294,1550,135,285,2362,105,22,14,7,16,1213,2133,1179,427,"$483,326",$293,June,2021
WINKLER,301,727,86,270,278,25,68,497,12,5,4,1,1,207,477,176,74,"$90,031",$299,June,2021
WISE,2025,4758,633,1703,1913,193,316,3329,132,34,28,12,30,1193,1117,3041,600,"$601,829",$297,June,2021
WOOD,1984,4021,451,1211,1715,250,394,2841,213,17,12,0,21,917,508,3025,488,"$483,051",$243,June,2021
YOAKUM,288,670,94,249,259,20,48,404,12,4,0,1,7,242,456,134,80,"$86,869",$302,June,2021
YOUNG,867,1761,189,559,766,98,149,1225,53,13,3,2,15,450,330,1198,233,"$200,982",$232,June,2021
ZAPATA,1643,4173,590,1644,1406,112,421,2372,12,6,2,8,0,1773,3683,92,398,"$555,736",$338,June,2021
ZAVALA,1493,3357,387,1153,1295,122,400,1772,36,8,5,17,7,1512,2936,138,283,"$418,681",$280,June,2021
CALL CENTERS,1171,2656,357,1166,952,54,127,1247,421,17,96,11,23,841,1196,1146,314,"$175,527",$150,June,2021
State Total,1437564,3217790,455081,1173831,1203582,112695,272601,1486747,635707,10714,49099,6782,23850,1004891,1575264,1288284,354242,"$425,777,238",$296,June,2021
ANDERSON,2992,6198,804,1942,2655,298,499,3042,1456,43,26,11,63,1557,936,4460,802,"$794,977",$266,July,2021
ANDREWS,661,1648,225,638,645,43,97,1094,60,9,0,0,3,482,1074,391,183,"$207,645",$314,July,2021
ANGELINA,5631,12367,1697,4285,5024,482,879,5576,3048,31,46,12,94,3560,2585,8250,1532,"$1,537,350",$273,July,2021
ARANSAS,1556,3003,334,805,1362,219,283,2029,86,6,31,6,13,832,1167,1481,355,"$393,235",$253,July,2021
ARCHER,247,465,47,139,213,26,40,345,6,4,3,2,7,98,58,339,68,"$57,681",$234,July,2021
ARMSTRONG,39,85,12,27,35,2,9,52,3,0,3,0,1,26,21,52,12,"$10,370",$266,July,2021
ATASCOSA,3373,8031,1178,2755,3187,279,632,4975,112,32,22,24,31,2835,5680,1487,864,"$1,039,610",$308,July,2021
AUSTIN,1148,2491,345,877,938,99,232,1143,534,9,6,2,28,769,886,1298,307,"$321,811",$280,July,2021
BAILEY,294,764,119,321,219,26,79,420,17,2,0,2,0,323,541,116,107,"$87,353",$297,July,2021
BANDERA,844,1737,226,525,725,84,177,1243,37,13,7,8,18,411,502,998,237,"$224,755",$266,July,2021
BASTROP,4183,9600,1479,3773,3365,365,618,5484,992,38,33,23,109,2921,4682,3600,1318,"$1,311,483",$314,July,2021
BAYLOR,244,482,57,138,210,29,48,354,23,1,0,2,0,102,95,322,65,"$55,542",$228,July,2021
BEE,2175,4840,619,1592,2037,175,417,3141,139,14,10,14,19,1503,3600,776,464,"$622,114",$286,July,2021
BELL,19638,45369,6398,16123,18828,1587,2433,15936,15608,189,444,481,1056,11655,11593,28000,5776,"$5,842,944",$298,July,2021
BEXAR,112367,251122,34190,87107,99995,9378,20452,128236,25776,747,2880,686,1702,91095,171501,53885,25736,"$33,285,178",$296,July,2021
BLANCO,218,407,49,113,155,24,66,288,9,4,0,0,3,103,129,221,57,"$50,974",$234,July,2021
BORDEN,16,35,4,13,15,1,2,19,2,1,0,0,1,12,16,12,7,"$5,627",$352,July,2021
BOSQUE,764,1690,213,560,669,88,160,1109,76,2,5,1,15,482,453,991,246,"$209,905",$275,July,2021
BOWIE,6299,13617,1899,4619,5625,586,888,4553,5579,51,49,9,192,3184,717,11309,1591,"$1,732,232",$275,July,2021
BRAZORIA,13257,30286,4347,11009,11698,1003,2229,15046,5413,104,532,44,314,8833,11925,14816,3545,"$3,946,912",$298,July,2021
BRAZOS,8078,18078,2885,6532,7113,542,1006,6704,5432,69,121,17,241,5494,5878,9563,2637,"$2,372,320",$294,July,2021
BREWSTER,351,664,74,182,253,45,110,377,36,2,5,6,1,237,396,193,75,"$81,291",$232,July,2021
BRISCOE,51,113,11,33,43,8,18,70,4,3,0,0,0,36,51,44,18,"$11,645",$228,July,2021
BROOKS,1047,2248,259,734,924,111,220,1237,6,4,1,2,2,996,1933,89,226,"$292,192",$279,July,2021
BROWN,2180,4467,494,1351,1975,220,427,3018,240,12,15,7,33,1142,1107,2776,584,"$537,316",$246,July,2021
BURLESON,979,2029,245,681,840,99,164,1039,427,7,5,2,27,522,447,1286,296,"$259,916",$265,July,2021
BURNET,1450,3067,395,1001,1196,160,315,2100,97,15,17,3,35,800,1043,1595,429,"$376,298",$260,July,2021
CALDWELL,2277,5346,829,1991,1937,204,385,3179,391,17,7,10,48,1694,3198,1481,667,"$701,931",$308,July,2021
CALHOUN,1194,2512,334,807,1042,114,215,1430,91,6,92,3,10,880,1463,767,282,"$328,216",$275,July,2021
CALLAHAN,654,1441,186,436,630,70,119,1053,65,8,4,6,16,289,211,1067,163,"$179,564",$275,July,2021
CAMERON,39783,94313,12657,36031,31779,2674,11172,61014,425,131,126,109,86,32422,83367,3055,7891,"$12,153,141",$305,July,2021
CAMP,858,1889,256,685,724,91,133,829,496,3,2,5,21,533,442,1176,271,"$235,926",$275,July,2021
CARSON,128,284,29,102,113,14,26,218,3,1,0,0,0,62,28,215,41,"$36,445",$285,July,2021
CASS,2158,4403,536,1352,1899,245,371,2162,1204,21,11,2,65,938,179,3673,551,"$549,616",$255,July,2021
CASTRO,347,859,102,347,301,30,79,542,16,3,3,2,0,293,684,91,84,"$98,282",$283,July,2021
CHAMBERS,1535,3567,547,1258,1415,138,209,2040,558,7,18,4,42,898,1032,2133,402,"$457,124",$298,July,2021
CHEROKEE,2993,6785,1012,2364,2683,265,461,3611,1405,27,5,2,73,1662,1529,4493,763,"$857,026",$286,July,2021
CHILDRESS,351,739,84,236,298,35,86,397,54,5,6,1,1,275,270,359,110,"$86,678",$247,July,2021
CLAY,375,779,86,237,353,43,60,588,20,4,1,0,21,145,70,615,94,"$93,354",$249,July,2021
COCHRAN,205,475,55,161,175,24,60,258,17,1,1,4,0,194,332,92,51,"$56,935",$278,July,2021
COKE,141,323,41,104,146,11,21,251,1,3,2,0,0,66,119,173,31,"$38,441",$273,July,2021
COLEMAN,503,1003,129,258,452,58,106,721,45,2,2,1,10,222,204,677,122,"$116,523",$232,July,2021
COLLIN,17029,37977,5191,13805,13481,966,4534,13898,10938,193,2301,104,679,9864,9212,23782,4983,"$4,910,445",$288,July,2021
COLLINGSWORTH,158,357,36,130,146,11,34,192,26,3,2,0,2,132,207,119,31,"$42,715",$270,July,2021
COLORADO,949,2023,275,706,728,105,209,814,514,5,6,2,21,661,745,1018,260,"$242,653",$256,July,2021
COMAL,3566,8017,1106,2715,3237,292,667,5214,327,31,41,29,69,2306,3591,3495,931,"$1,017,289",$285,July,2021
COMANCHE,677,1484,181,473,591,80,159,965,27,5,4,1,5,477,583,710,191,"$168,098",$248,July,2021
CONCHO,117,280,36,95,96,16,37,174,5,0,2,1,3,95,138,114,28,"$32,346",$276,July,2021
COOKE,1650,3769,558,1389,1382,164,276,2328,310,17,22,4,35,1053,993,2269,507,"$479,878",$291,July,2021
CORYELL,3180,7461,1049,2535,3203,273,401,3836,1466,60,62,141,204,1692,1653,4825,983,"$907,408",$285,July,2021
COTTLE,88,179,21,46,78,9,25,91,32,0,1,2,1,52,73,84,22,"$19,938",$227,July,2021
CRANE,161,407,74,147,145,14,27,247,16,0,2,1,2,139,266,98,43,"$51,884",$322,July,2021
CROCKETT,121,280,32,101,110,8,29,190,6,0,0,1,0,83,204,52,24,"$34,264",$283,July,2021
CROSBY,412,1057,138,399,403,34,83,590,40,2,0,1,3,421,731,192,134,"$128,261",$311,July,2021
CULBERSON,157,313,44,88,101,16,64,194,2,7,1,1,3,105,225,50,38,"$39,560",$252,July,2021
DALLAM,178,397,65,142,141,16,33,271,9,12,0,0,2,103,211,143,43,"$48,073",$270,July,2021
DALLAS,137976,293509,43488,109818,106422,11015,22766,83541,109076,956,6467,354,2120,90995,106252,153095,34162,"$39,270,805",$285,July,2021
DAWSON,814,1849,265,613,718,83,170,1132,80,0,1,6,6,624,1403,263,183,"$235,431",$289,July,2021
DEAF SMITH,925,2263,386,835,756,87,199,1274,51,13,5,4,10,906,1743,230,290,"$281,122",$304,July,2021
DELTA,308,667,91,211,281,24,60,417,97,5,1,1,10,136,79,506,82,"$76,443",$248,July,2021
DENTON,16407,37481,5439,14096,13986,973,2987,14358,11349,182,1434,51,598,9509,10193,22850,4438,"$4,863,639",$296,July,2021
DEWITT,1277,2787,335,960,1103,132,257,1518,350,8,5,10,46,850,1428,1029,330,"$343,872",$269,July,2021
DICKENS,121,228,23,60,91,19,35,144,7,1,0,0,2,74,99,99,30,"$25,515",$211,July,2021
DIMMIT,1081,2479,304,873,913,99,290,1357,13,3,4,60,2,1040,2097,106,276,"$313,730",$290,July,2021
DONLEY,152,323,40,91,135,14,43,183,43,1,0,1,3,92,44,216,63,"$41,363",$272,July,2021
DUVAL,1370,2926,341,927,1199,136,323,1753,8,2,2,5,0,1156,2509,137,280,"$361,534",$264,July,2021
EASTLAND,1059,2221,257,621,1002,119,222,1616,47,17,14,4,15,508,378,1573,270,"$262,593",$248,July,2021
ECTOR,7581,18366,2915,6792,6850,549,1260,10410,1314,63,53,60,97,6369,12141,4280,1945,"$2,415,987",$319,July,2021
EDWARDS,116,271,31,93,97,11,39,185,8,2,0,1,1,74,186,62,23,"$31,434",$271,July,2021
ELLIS,5778,13624,1988,5028,5293,452,863,6658,3196,44,76,24,134,3492,4413,7688,1523,"$1,719,815",$298,July,2021
EL PASO,60923,135265,15790,46097,49092,5344,18942,84416,3237,495,372,317,386,46042,117112,8856,9297,"$17,478,698",$287,July,2021
ERATH,1180,2752,391,953,1084,104,220,1760,72,30,18,3,25,844,915,1467,370,"$339,749",$288,July,2021
FALLS,1244,2581,370,814,1020,115,262,909,885,5,4,6,39,733,564,1595,422,"$319,189",$257,July,2021
FANNIN,1585,3223,379,1009,1347,184,304,2071,345,36,9,2,58,702,381,2390,452,"$396,002",$250,July,2021
FAYETTE,818,1726,237,571,665,76,177,852,359,6,6,3,21,479,489,980,257,"$213,997",$262,July,2021
FISHER,177,379,43,114,172,23,27,241,34,1,0,0,2,101,144,190,45,"$48,955",$277,July,2021
FLOYD,366,923,88,352,368,33,82,553,39,0,0,2,0,329,698,153,72,"$111,406",$304,July,2021
FOARD,57,96,8,21,48,9,10,69,4,1,0,1,1,20,26,56,14,"$10,635",$187,July,2021
FORT BEND,23137,51287,6656,18186,18639,1514,6292,14847,17421,144,3822,137,434,14482,16656,28247,6384,"$6,706,685",$290,July,2021
FRANKLIN,485,1066,132,365,421,59,89,662,113,7,4,2,11,267,144,782,140,"$120,708",$249,July,2021
FREESTONE,1024,2162,297,691,871,100,203,1083,479,6,7,1,42,544,313,1566,283,"$267,760",$261,July,2021
FRIO,1404,3226,446,1088,1207,128,357,1904,36,6,6,36,2,1236,2666,222,338,"$417,202",$297,July,2021
GAINES,678,1666,250,611,613,55,137,1037,41,3,2,6,11,566,1067,422,177,"$213,201",$314,July,2021
GALVESTON,15972,32925,4153,11264,13459,1475,2574,14559,9359,111,334,51,350,8161,9177,19911,3837,"$4,411,556",$276,July,2021
GARZA,257,573,61,204,216,35,57,301,67,1,0,4,3,197,299,215,59,"$64,157",$250,July,2021
GILLESPIE,462,1009,154,330,369,40,116,709,3,7,3,6,3,278,445,447,117,"$116,883",$253,July,2021
GLASSCOCK,13,30,7,10,9,2,2,19,0,0,0,0,0,11,24,2,4,"$4,056",$312,July,2021
GOLIAD,368,790,92,262,321,33,82,445,57,10,6,1,8,263,424,270,96,"$100,767",$274,July,2021
GONZALES,1320,2962,435,1067,1112,104,244,1538,347,37,3,5,15,1017,1701,952,309,"$376,316",$285,July,2021
GRAY,1206,2624,303,862,1149,127,183,1678,130,24,10,2,23,757,859,1439,326,"$327,443",$272,July,2021
GRAYSON,5765,12369,1645,4160,5006,600,958,7324,1644,113,121,13,288,2866,2062,8845,1462,"$1,501,996",$261,July,2021
GREGG,8103,16901,2299,5702,6982,765,1153,6657,5616,62,66,15,224,4261,2728,12101,2072,"$2,139,955",$264,July,2021
GRIMES,1583,3314,395,1151,1310,152,306,1567,754,7,4,10,36,936,918,1931,465,"$413,406",$261,July,2021
GUADALUPE,5267,11970,1653,4147,4731,455,984,6724,1027,37,57,44,87,3994,6484,4174,1312,"$1,539,902",$292,July,2021
HALE,1974,4661,615,1655,1817,170,404,2519,297,9,2,14,28,1792,3311,898,452,"$560,869",$284,July,2021
HALL,194,476,46,170,196,19,45,280,46,1,0,0,3,146,222,205,49,"$53,804",$277,July,2021
HAMILTON,344,715,80,200,311,51,73,533,8,10,2,1,5,156,82,530,103,"$83,179",$242,July,2021
HANSFORD,100,269,34,128,83,7,17,166,2,0,0,0,0,101,165,71,33,"$31,468",$315,July,2021
HARDEMAN,210,479,50,161,210,20,38,282,44,7,0,0,10,136,129,299,51,"$53,848",$256,July,2021
HARDIN,2722,5819,772,1830,2585,246,386,3951,793,20,6,2,58,989,356,4845,618,"$750,428",$276,July,2021
HARRIS,263932,574413,87812,215308,205767,18244,47282,189368,183791,1662,15147,1072,3610,179763,244149,265727,64537,"$78,736,613",$298,July,2021
HARRISON,3994,8415,1059,2851,3482,414,609,3365,2797,13,24,9,99,2108,1023,6248,1144,"$1,064,206",$266,July,2021
HARTLEY,47,122,16,55,32,5,14,90,1,0,0,0,0,31,53,50,19,"$13,102",$279,July,2021
HASKELL,364,676,62,170,307,44,93,410,53,1,7,5,4,196,252,358,66,"$83,184",$229,July,2021
HAYS,5552,12743,1900,4644,5001,380,818,7785,966,53,80,30,127,3702,7490,3700,1553,"$1,658,204",$299,July,2021
HEMPHILL,64,169,21,82,50,4,12,90,2,1,4,0,4,68,86,61,22,"$20,893",$326,July,2021
HENDERSON,5123,10421,1317,3086,4503,589,926,6893,1133,25,22,10,86,2252,1317,7804,1300,"$1,309,550",$256,July,2021
HIDALGO,82220,201951,28944,83016,62923,4952,22116,126033,778,260,303,293,95,74189,178901,5059,17991,"$27,159,922",$330,July,2021
HILL,1951,4072,497,1295,1681,242,357,2318,532,21,22,3,62,1114,870,2647,555,"$500,143",$256,July,2021
HOCKLEY,1187,2893,395,1021,1193,97,187,1646,108,17,11,12,17,1082,1810,764,319,"$352,224",$297,July,2021
HOOD,1931,4234,521,1403,1797,207,306,3028,140,22,14,4,42,984,773,2968,493,"$537,735",$278,July,2021
HOPKINS,1781,3721,500,1198,1489,179,355,2260,504,19,10,2,44,882,607,2652,462,"$455,591",$256,July,2021
HOUSTON,1654,3210,388,965,1380,186,291,1270,1191,7,5,1,38,698,350,2433,427,"$411,986",$249,July,2021
HOWARD,1601,3759,496,1329,1575,133,226,2329,313,21,9,7,23,1057,1993,1396,370,"$479,843",$300,July,2021
HUDSPETH,356,799,88,261,270,27,153,480,17,1,4,2,3,292,633,102,64,"$96,355",$271,July,2021
HUNT,4790,10032,1328,3265,4094,547,798,5558,1704,34,46,9,131,2550,1941,6754,1337,"$1,252,454",$261,July,2021
HUTCHINSON,882,1982,262,670,841,92,117,1357,108,17,2,2,23,473,564,1181,237,"$258,028",$293,July,2021
IRION,36,60,5,17,27,4,7,45,1,0,1,1,0,12,20,34,6,"$8,253",$229,July,2021
JACK,320,733,93,246,300,37,57,530,16,10,0,2,8,167,117,526,90,"$91,777",$287,July,2021
JACKSON,757,1704,240,577,674,60,153,903,266,3,11,1,24,496,763,754,187,"$212,304",$280,July,2021
JASPER,2643,5439,673,1641,2370,263,492,2794,1479,8,4,2,40,1112,342,4449,648,"$673,683",$255,July,2021
JEFF DAVIS,50,97,8,32,37,3,17,54,2,0,0,0,0,41,61,24,12,"$9,464",$189,July,2021
JEFFERSON,18561,38033,5418,12504,15470,1798,2843,9153,18603,92,608,34,247,9296,6712,27121,4200,"$5,045,260",$272,July,2021
JIM HOGG,528,1338,162,504,515,39,118,793,5,3,1,2,5,529,1161,48,129,"$168,323",$319,July,2021
JIM WELLS,3869,9052,1154,3181,3650,336,731,5305,80,14,12,12,13,3616,7479,740,833,"$1,147,297",$297,July,2021
JOHNSON,6127,13858,1901,4803,5521,617,1016,9082,857,62,89,67,154,3547,3591,8607,1660,"$1,749,771",$286,July,2021
JONES,755,1683,191,558,688,93,153,1040,117,13,11,2,15,485,653,847,183,"$194,357",$257,July,2021
KARNES,921,2058,288,674,823,92,181,1135,71,9,4,7,13,819,1493,332,233,"$274,435",$298,July,2021
KAUFMAN,5546,13736,1886,5472,5130,432,816,5963,4101,46,97,9,131,3389,2981,9200,1555,"$1,734,129",$313,July,2021
KENDALL,621,1368,184,489,510,41,144,876,27,6,11,2,9,437,603,567,198,"$177,536",$286,July,2021
KENEDY,13,31,5,12,10,0,4,16,0,0,0,0,0,15,28,1,2,"$3,317",$255,July,2021
KENT,29,62,8,17,24,6,7,39,1,0,0,0,0,22,22,32,8,"$6,215",$214,July,2021
KERR,1886,3911,538,1221,1589,189,374,2563,145,11,12,5,31,1144,1551,1877,483,"$492,446",$261,July,2021
KIMBLE,177,378,38,128,151,16,45,286,2,3,4,0,2,81,149,189,40,"$44,376",$251,July,2021
KING,2,5,0,2,2,0,1,5,0,0,0,0,0,0,0,5,0,$494,$247,July,2021
KINNEY,195,421,51,120,157,26,67,249,10,1,0,1,0,160,321,61,39,"$45,486",$233,July,2021
KLEBERG,2638,5716,740,1794,2483,237,462,3374,209,18,21,11,4,2079,4427,771,518,"$728,997",$276,July,2021
KNOX,194,436,57,148,176,18,37,238,45,3,1,0,8,141,207,176,53,"$50,898",$262,July,2021
LAMAR,3379,6771,865,2131,2795,380,600,3272,1766,61,19,5,100,1548,598,5281,892,"$843,362",$250,July,2021
LAMB,818,1815,204,629,712,85,185,1078,100,5,1,5,4,622,1242,375,198,"$226,922",$277,July,2021
LAMPASAS,995,2122,251,664,925,108,174,1466,78,14,23,12,25,504,611,1280,231,"$274,041",$275,July,2021
LA SALLE,580,1340,167,462,498,48,165,787,15,3,2,7,0,526,1122,90,128,"$160,519",$277,July,2021
LAVACA,830,1846,279,606,728,79,154,1037,274,3,3,1,39,489,662,940,244,"$229,151",$276,July,2021
LEE,744,1623,237,592,604,80,110,820,325,7,3,2,16,450,568,818,237,"$203,303",$273,July,2021
LEON,882,1866,240,616,728,108,174,1118,262,5,5,1,10,465,356,1219,291,"$233,317",$265,July,2021
LIBERTY,6447,14873,2282,5934,5239,538,880,8736,1501,34,39,12,98,4453,5569,7589,1715,"$1,987,413",$308,July,2021
LIMESTONE,1494,3155,409,1034,1317,150,245,1461,750,8,6,14,32,884,653,2039,463,"$378,678",$253,July,2021
LIPSCOMB,74,200,21,93,63,9,14,116,0,7,0,0,5,72,113,62,25,"$22,704",$307,July,2021
LIVE OAK,600,1344,186,415,570,52,121,929,16,3,6,1,2,387,822,390,132,"$159,083",$265,July,2021
LLANO,809,1669,205,484,678,87,215,1229,27,5,7,0,13,388,352,1064,253,"$207,461",$256,July,2021
LOVING,4,12,1,7,3,0,1,9,1,0,0,0,0,2,3,9,0,"$1,622",$406,July,2021
LUBBOCK,15252,34737,4913,11925,14283,1338,2278,16385,5604,138,139,65,270,12136,18306,12465,3966,"$4,496,171",$295,July,2021
LYNN,317,772,85,294,294,36,63,411,28,1,1,4,4,323,553,142,77,"$93,255",$294,July,2021
MCCULLOCH,540,1092,132,323,432,63,142,745,30,4,1,4,8,300,387,558,147,"$123,645",$229,July,2021
MCLENNAN,13985,30287,4387,10364,12211,1275,2050,11742,8760,97,135,52,341,9160,8782,17220,4285,"$3,860,623",$276,July,2021
MCMULLEN,28,55,6,17,27,2,3,39,2,0,0,0,0,14,29,23,3,"$6,897",$246,July,2021
MADISON,766,1611,221,539,643,66,142,698,463,4,7,1,9,429,317,1039,255,"$211,784",$276,July,2021
MARION,915,1726,187,472,740,129,198,880,441,6,5,1,16,377,68,1429,229,"$214,154",$234,July,2021
MARTIN,189,525,70,228,180,14,33,341,21,5,0,1,2,155,348,119,58,"$66,547",$352,July,2021
MASON,117,230,24,70,81,8,47,154,1,0,0,1,0,74,113,86,31,"$26,195",$224,July,2021
MATAGORDA,2452,5433,817,1883,2077,215,441,2496,972,20,39,5,49,1852,2449,2270,714,"$717,345",$293,July,2021
MAVERICK,6446,15590,2056,5195,5278,532,2529,8214,51,199,49,44,12,7021,13709,461,1420,"$1,914,374",$297,July,2021
MEDINA,2436,5635,738,1906,2280,208,503,3641,91,28,7,19,19,1830,3849,1183,603,"$714,493",$293,July,2021
MENARD,99,219,23,72,89,9,26,145,9,1,0,0,4,60,93,98,28,"$24,540",$248,July,2021
MIDLAND,4973,12474,2171,4620,4644,335,704,7201,1575,58,197,23,92,3328,7134,4008,1332,"$1,603,589",$322,July,2021
MILAM,1632,3379,377,1070,1377,201,354,1825,629,13,3,6,30,873,1127,1817,435,"$419,307",$257,July,2021
MILLS,145,294,29,89,136,16,24,221,7,0,5,1,0,60,76,178,40,"$36,257",$250,July,2021
MITCHELL,365,860,110,303,334,34,79,504,71,5,1,2,20,257,384,377,99,"$106,922",$293,July,2021
MONTAGUE,929,2020,239,659,867,100,155,1495,29,5,3,1,23,464,272,1493,255,"$241,561",$260,July,2021
MONTGOMERY,19152,43281,6560,15941,16442,1458,2880,24712,5537,159,462,95,421,11895,14408,23496,5377,"$5,661,661",$296,July,2021
MOORE,603,1517,253,596,518,46,104,771,49,8,80,1,7,601,937,384,196,"$187,627",$311,July,2021
MORRIS,1057,2179,246,718,874,138,203,1017,606,2,8,2,15,529,184,1693,302,"$269,476",$255,July,2021
MOTLEY,53,101,10,26,43,4,18,65,10,0,0,0,1,25,16,67,18,"$12,731",$240,July,2021
NACOGDOCHES,3998,8510,1208,2956,3415,345,586,3326,2743,22,32,11,61,2315,1796,5663,1051,"$1,054,723",$264,July,2021
NAVARRO,3239,7139,1013,2541,2777,299,509,3276,1531,27,17,82,91,2115,1961,4243,935,"$904,976",$279,July,2021
NEWTON,939,1870,187,551,849,114,169,927,539,5,2,0,14,383,74,1570,226,"$231,715",$247,July,2021
NOLAN,986,2180,259,756,902,90,173,1283,211,17,2,5,16,646,973,993,214,"$268,396",$272,July,2021
NUECES,26828,56474,7282,18222,24078,2385,4507,35081,2801,138,233,107,227,17887,41415,9721,5338,"$7,519,072",$280,July,2021
OCHILTREE,250,599,66,254,209,16,54,388,12,5,1,1,0,192,335,189,75,"$74,893",$300,July,2021
OLDHAM,26,79,15,24,31,3,6,58,0,0,8,0,0,13,20,55,4,"$8,410",$323,July,2021
ORANGE,5228,11147,1547,3466,4920,520,694,6533,2226,43,44,10,113,2178,944,8929,1274,"$1,459,435",$279,July,2021
PALO PINTO,1476,3146,389,1021,1303,150,283,2187,128,9,7,1,27,787,612,2135,399,"$387,577",$263,July,2021
PANOLA,1308,2837,334,960,1165,131,247,1462,703,17,6,2,23,624,243,2234,360,"$362,825",$277,July,2021
PARKER,3827,8290,1041,2748,3497,431,573,5964,281,55,46,2,89,1853,1481,5799,1010,"$1,035,625",$271,July,2021
PARMER,243,655,106,287,187,15,60,369,12,2,0,2,6,264,471,104,80,"$75,614",$311,July,2021
PECOS,746,1762,238,640,618,55,211,1133,23,6,3,5,9,583,1399,215,148,"$220,759",$296,July,2021
POLK,3640,7384,887,2213,3231,371,682,4533,932,69,27,9,70,1744,912,5456,1016,"$930,962",$256,July,2021
POTTER,7597,17077,2319,6030,6665,721,1342,8154,2600,113,509,26,205,5470,6911,7931,2235,"$2,195,347",$289,July,2021
PRESIDIO,614,1196,108,328,325,40,395,570,3,3,3,9,0,608,1026,42,128,"$142,603",$232,July,2021
RAINS,570,1207,134,375,507,68,123,888,50,8,1,1,6,253,114,947,146,"$145,744",$256,July,2021
RANDALL,3214,7446,1051,2559,3091,271,474,4541,673,45,82,8,82,2015,2375,4107,964,"$900,791",$280,July,2021
REAGAN,87,241,35,104,82,7,13,132,6,1,5,1,0,96,185,27,29,"$25,543",$294,July,2021
REAL,183,405,44,119,174,16,52,292,2,0,0,0,3,108,145,207,53,"$46,634",$255,July,2021
RED RIVER,865,1581,162,453,639,94,233,800,413,11,3,0,16,338,139,1237,205,"$184,139",$213,July,2021
REEVES,754,1741,244,604,627,68,198,1151,35,4,5,2,1,543,1442,147,152,"$222,951",$296,July,2021
REFUGIO,436,940,100,301,396,48,95,495,101,1,0,2,5,336,568,281,91,"$107,977",$248,July,2021
ROBERTS,19,45,3,14,26,1,1,41,0,0,0,0,1,3,6,32,7,"$5,879",$309,July,2021
ROBERTSON,1358,2643,339,827,1119,119,239,892,1007,1,11,4,16,712,499,1743,401,"$345,046",$254,July,2021
ROCKWALL,1629,4128,558,1690,1473,115,292,1826,1129,19,90,15,71,978,1026,2673,429,"$512,762",$315,July,2021
RUNNELS,530,1157,131,374,480,41,131,748,33,1,3,5,15,352,528,493,136,"$130,555",$246,July,2021
RUSK,2727,5792,722,2007,2317,293,453,2832,1408,13,13,6,63,1457,1008,4072,712,"$728,124",$267,July,2021
SABINE,746,1469,163,414,655,110,127,960,187,3,2,1,12,304,55,1229,185,"$182,793",$245,July,2021
SAN AUGUSTINE,698,1331,144,377,591,84,135,602,454,0,2,0,12,261,105,1064,162,"$170,567",$244,July,2021
SAN JACINTO,2045,4135,499,1264,1773,207,392,2568,532,15,9,4,48,959,643,2973,519,"$546,370",$267,July,2021
SAN PATRICIO,4800,10882,1423,3609,4455,428,967,6856,265,21,46,16,51,3627,7546,2334,1002,"$1,356,026",$283,July,2021
SAN SABA,293,605,64,180,253,30,78,416,6,0,3,3,3,174,225,290,90,"$75,166",$257,July,2021
SCHLEICHER,102,228,33,70,82,12,31,146,2,0,0,1,1,78,160,42,26,"$29,186",$286,July,2021
SCURRY,742,1755,228,640,679,70,138,1064,72,6,2,4,21,586,956,609,190,"$219,286",$296,July,2021
SHACKELFORD,134,292,35,84,134,9,30,226,6,3,0,1,2,54,57,203,32,"$34,529",$258,July,2021
SHELBY,1916,3949,503,1352,1570,182,342,1837,1120,22,35,0,27,908,637,2858,454,"$496,905",$259,July,2021
SHERMAN,44,150,28,67,50,0,5,113,2,0,0,0,0,35,81,49,20,"$17,355",$394,July,2021
SMITH,10196,22661,3169,8118,8858,949,1567,9037,7159,99,123,10,229,6004,5122,15062,2477,"$2,834,761",$278,July,2021
SOMERVELL,283,615,82,197,262,28,46,440,8,3,1,4,10,149,157,377,81,"$78,508",$277,July,2021
STARR,8411,19170,2575,6631,6222,621,3121,10349,28,19,14,51,4,8705,16903,321,1946,"$2,412,927",$287,July,2021
STEPHENS,499,1028,114,317,451,61,85,705,34,6,3,0,8,272,236,675,117,"$123,724",$248,July,2021
STERLING,32,89,13,35,31,2,8,55,3,0,2,0,3,26,56,25,8,"$11,218",$351,July,2021
