county,census_tract,population,food_insecure_population_percent,food_insecure_population
Freestone,1.01,3201,0.1421225854,454.9343958654
Freestone,1.02,1751,0.2157631673,377.8013059423
Freestone,2,1554,0.1720018696,267.2909053584
Freestone,3,1079,0.2706673443,292.0500644997
Freestone,4,2553,0.2120609198,541.3915282494
Freestone,6,4918,0.2040499712,1003.5177583616
Freestone,7,2754,0.2397118594,660.1664607876
Freestone,9,2003,0.1845170283,369.5876076849
Gillespie,9501,3970,0.1461937888,580.389341536
Gillespie,9502,4220,0.1448253551,611.162998522
Gillespie,9503.01,2048,0.1448287875,296.6093568
Gillespie,9503.02,5148,0.1279082826,658.4718388248
Gillespie,9504.01,2879,0.1711482178,492.7357190462
Gillespie,9504.02,3991,0.1645433862,656.6926543242
Gillespie,9505,4946,0.1848473854,914.2551681884
Hays,101,3125,0.219725295,686.641546875
Hays,102,6409,0.2275150612,1458.1440272308
Hays,103.02,5228,0.2776288525,1451.44364087
Hays,103.05,5832,0.269670493,1572.718315176
Hays,103.06,4340,0.2784033938,1208.270729092
Hays,103.07,2608,0.2674033532,697.3879451456
Hays,103.08,1656,0.2698305904,446.8394577024
Hays,103.09,4774,0.2765791609,1320.3889141366
Hays,104.01,4849,0.2271053449,1101.2338174201
Hays,104.02,8307,0.2358557102,1959.2533846314
Hays,105,5436,0.2529693344,1375.1413017984
Hays,106.01,3464,0.2300497192,796.8922273088
Hays,106.02,5033,0.1606877754,808.7415735882
Hays,106.03,4000,0.1385762532,554.3050128
Hays,107.02,3012,0.2033822194,612.5872448328
Hays,107.03,5823,0.2160399022,1258.0003505106
Hays,107.04,2302,0.2239817281,515.6059380862
Hays,108.06,5798,0.1154589016,669.4307114768
Hays,108.07,4293,0.1120086818,480.8532709674
Hays,108.09,8245,0.1243401828,1025.184807186
Hays,108.1,2600,0.1414773441,367.84109466
Hays,108.11,3507,0.2537043275,889.7410765425
Hays,108.12,5123,0.1057356879,541.6839291117
Hays,108.13,2655,0.1095391372,290.826409266
Hays,108.14,2972,0.1602941063,476.3940839236
Hays,108.15,2138,0.0952691296,203.6853990848
Hays,108.16,13101,0.1078655608,1413.1467120408
Hays,108.17,4009,0.1235084916,495.1455428244
Hays,108.18,1966,0.1084800829,213.2718429814
Hays,109.05,10786,0.1363167717,1470.3126995562
Hays,109.09,10474,0.1774776885,1858.901309349
Hays,109.11,3524,0.1069862547,377.0195615628
Hays,109.12,8887,0.107603325,956.270749275
Hays,109.13,6812,0.1814877999,1236.2948929188
Hays,109.14,3275,0.1084873893,355.2961999575
Hays,109.15,8198,0.1278332345,1047.976856431
Hays,109.16,8916,0.1530785923,1364.8487289468
Hays,109.17,6083,0.1788433496,1087.9040956168
Hays,109.18,5286,0.1449928662,766.4322907332
Hays,109.19,8879,0.2189033998,1943.6432868242
Hays,109.2,3137,0.191611861,601.086407957
Hays,109.21,5041,0.217692623,1097.388512543
Hays,109.22,12631,0.1609926593,2033.4982796183
Hays,109.23,10288,0.1773585596,1824.6648611648
Hays,109.24,4897,0.163681587,801.548731539
Hays,109.25,6710,0.1988666488,1334.395213448
Lampasas,9501,3031,0.1580405607,479.0209394817
Lampasas,9503.02,3693,0.1459487239,538.9886373627
Lampasas,9503.03,4254,0.1611762324,685.6436926296
Lampasas,9503.04,2780,0.1743319963,484.642949714
Lampasas,9504,3978,0.2292406837,911.9194397586
Lampasas,9505,4531,0.1780685653,806.8286693743
Lee,1,5348,0.1458474968,779.9924128864
Lee,2,2456,0.1844255955,452.949262548
Lee,3,3128,0.1735143228,542.7528017184
Lee,4,6826,0.2378652325,1623.668077045
Limestone,9701,2080,0.2183043014,454.072946912
Limestone,9702,3822,0.196375253,750.546216966
Limestone,9703,2453,0.3270120194,802.1604835882
Limestone,9704,1617,0.2455174932,397.0017865044
Limestone,9705,1929,0.2701999942,521.2157888118
Limestone,9706,5714,0.2092685729,1195.7606255506
Limestone,9707,1543,0.1696101127,261.7084038961
Limestone,9708,3027,0.1520610137,460.2886884699
Llano,9701,2764,0.1373673023,379.6832235572
Llano,9702,3470,0.2052056085,712.063461495
Llano,9703,2255,0.1222774356,275.735617278
Llano,9704.01,2000,0.0966200722,193.2401444
Llano,9704.02,2451,0.1261174041,309.1137574491
Llano,9705.01,2871,0.1772373641,508.8484723311
Llano,9705.02,4375,0.19823633,867.28394375
Llano,9706,1825,0.1807857233,329.9339450225
McLennan,1,1729,0.3278882692,566.9188174468
McLennan,2,3841,0.2599533357,998.4807624237
McLennan,3,4112,0.1814022477,745.9260425424
McLennan,4.01,1757,0.2565453872,450.7502453104
McLennan,4.02,4995,0.2864225298,1430.680536351
McLennan,5.98,5118,0.2516848427,1288.1230249386
McLennan,7,2945,0.2276708294,670.490592583
McLennan,8,3010,0.2577395491,775.796042791
McLennan,9,4949,0.2157823233,1067.9067180117
McLennan,10,2406,0.3427985667,824.7733514802
McLennan,11,5789,0.3443718394,1993.5685782866
McLennan,12,3486,0.4053849492,1413.1719329112
